Soil_Type,PH_Level,Organic_Matter,Nitrogen_N,Phosphorus_P,Potassium_K,Moisture_Content,Compaction_Index,Conductivity,Soil_Quality_Score
Sandy,6.0,3.6,95,7,279,73,1,0.8,40
Loamy,8.3,3.3,11,34,249,31,1,2.7,39
Clayey,7.4,2.2,141,22,145,72,2,2.9,15
Black,6.9,5.3,54,39,278,89,2,2.5,41
Sandy,5.1,4.3,22,30,69,37,4,3.3,3
Loamy,5.1,7.1,64,39,243,53,2,3.6,46
Clayey,4.7,1.2,169,80,165,23,2,0.8,15
Black,8.0,5.5,31,76,64,28,3,3.1,11
Sandy,6.9,6.3,98,61,281,69,3,0.4,35
Loamy,7.3,6.3,64,105,253,86,3,2.3,44
Clayey,4.6,7.2,154,53,72,11,1,0.6,28
Black,8.4,6.1,188,14,254,60,3,2.3,47
Sandy,7.8,7.5,145,109,215,87,3,1.0,20
Loamy,5.3,3.3,198,108,23,43,5,3.7,25
Clayey,5.2,4.5,106,75,79,60,3,4.5,13
Black,5.2,1.1,147,102,192,28,1,0.9,45
Sandy,5.7,1.0,28,72,91,45,5,3.7,0
Loamy,6.6,2.7,137,82,94,35,1,0.8,61
Clayey,6.2,1.7,151,28,41,44,1,2.2,46
Black,5.7,2.8,76,47,228,72,5,3.2,14
Sandy,6.9,2.2,192,99,70,13,5,2.7,0
Loamy,5.1,1.2,70,130,164,12,5,0.4,22
Clayey,5.7,7.4,193,96,291,14,5,1.9,25
Black,6.0,1.1,72,87,63,38,1,2.4,50
Sandy,6.3,6.2,114,38,126,28,5,2.0,23
Loamy,7.6,2.1,113,123,169,26,2,3.4,24
Clayey,5.3,7.4,148,57,113,43,3,4.5,13
Black,6.6,7.2,184,57,283,29,3,3.4,36
Sandy,6.9,5.6,143,121,129,37,2,3.0,28
Loamy,4.7,5.7,43,139,37,82,1,0.8,38
Clayey,6.9,1.0,108,79,257,76,1,1.8,33
Black,5.2,7.9,73,46,258,19,3,2.8,35
Sandy,4.8,7.1,96,143,231,30,4,4.7,0
Loamy,8.3,7.3,90,141,250,13,2,1.6,44
Clayey,8.4,5.6,75,39,100,31,2,1.8,26
Black,7.7,3.4,168,105,274,80,3,3.0,25
Sandy,5.7,7.3,92,91,251,71,5,4.5,0
Loamy,4.9,3.0,199,101,228,21,4,2.8,26
Clayey,7.2,4.9,191,88,40,20,1,1.0,38
