Date,Variete,Temp_Air_Moy,Temp_Sol,Humidite_Sol,N,P,K,Prevision_Gelee,Indice_Succes
2025-01-01,Cerise,29.1,34.2,44,142,190,58,0,5
2025-01-01,Cerise,-3.9,3.9,48,174,172,200,0,2
2025-01-01,Marmande,-4.0,14.8,31,173,6,67,0,7
2025-01-01,Noire de Crimée,9.6,1.5,50,179,154,198,0,3
2025-01-01,Noire de Crimée,17.0,25.9,14,18,9,129,0,0
2025-01-01,Cœur de Bœuf,29.7,32.1,51,105,33,48,0,4
2025-01-02,Noire de Crimée,25.7,9.8,90,20,35,125,0,6
2025-01-02,Marmande,15.1,30.0,85,63,152,158,0,2
2025-01-02,Cerise,7.3,10.2,89,164,5,110,0,7
2025-01-03,Noire de Crimée,39.9,31.9,76,26,151,167,0,2
2025-01-04,Cœur de Bœuf,14.2,26.4,39,54,145,47,0,3
2025-01-04,Noire de Crimée,15.3,28.2,66,28,133,50,0,1
2025-01-04,Marmande,2.4,0.6,82,147,28,42,1,0
2025-01-04,Cœur de Bœuf,30.8,33.7,38,24,125,97,0,7
2025-01-05,Noire de Crimée,26.2,25.4,46,69,152,182,0,4
2025-01-05,Cœur de Bœuf,4.9,10.7,22,62,182,176,0,2
2025-01-05,Marmande,-1.3,29.0,41,163,80,123,1,0
2025-01-05,Cerise,25.6,9.9,55,129,173,79,0,3
2025-01-05,Marmande,24.5,30.5,32,149,151,184,0,0
2025-01-06,Marmande,7.3,3.9,54,15,74,110,0,7
2025-01-06,Marmande,37.8,24.6,26,145,25,142,0,4
2025-01-06,Marmande,1.8,18.9,75,196,126,26,0,0
2025-01-06,Cerise,14.5,3.4,15,181,114,195,0,0
2025-01-07,Cerise,37.5,8.5,27,99,125,191,0,3
2025-01-07,Cœur de Bœuf,13.9,0.4,31,29,27,157,0,1
2025-01-08,Noire de Crimée,23.7,16.4,42,44,130,163,1,0
2025-01-08,Cerise,12.9,10.5,39,18,74,194,0,7
2025-01-08,Cerise,7.3,20.9,90,33,165,112,1,0
2025-01-09,Noire de Crimée,39.3,10.4,41,140,188,85,0,6
2025-01-09,Cerise,13.4,10.5,51,170,77,113,0,6
2025-01-09,Marmande,35.2,26.0,87,61,178,123,0,0
2025-01-10,Marmande,5.3,1.7,19,117,89,48,0,3
2025-01-10,Noire de Crimée,4.6,31.6,45,99,175,75,0,2
2025-01-12,Cœur de Bœuf,-3.6,29.8,43,21,20,54,0,2
2025-01-12,Cœur de Bœuf,24.3,23.4,82,179,53,55,0,3
2025-01-12,Noire de Crimée,11.6,20.8,37,179,183,195,0,1
2025-01-13,Noire de Crimée,33.9,31.2,20,110,102,94,0,5
2025-01-13,Marmande,16.3,6.5,87,163,58,43,0,7
2025-01-13,Cœur de Bœuf,38.6,2.8,48,72,71,158,0,7
2025-01-13,Cerise,3.3,8.4,56,146,178,185,0,4
2025-01-14,Marmande,34.1,27.8,28,37,19,86,1,0
2025-01-14,Noire de Crimée,29.9,1.2,24,69,111,180,0,10
