Variete,Temp_Air_Moy,Temp_Sol,Humidite_Sol,N,P,K,Prevision_Gelee,Indice_Succes
Marmande,21.9,23.5,65,124,81,139,1,98
Noire de Crimée,22.7,25.7,65,103,89,167,0,54
Cerise,26.5,24.1,56,110,70,136,1,51
Marmande,21.4,19.7,70,137,88,132,0,94
Marmande,26.7,20.7,58,127,62,156,1,57
Noire de Crimée,18.9,21.0,83,90,72,143,0,99
Cerise,25.8,21.3,59,109,62,159,0,85
Cerise,26.5,24.1,62,94,69,163,0,55
Marmande,19.8,23.5,64,129,63,152,1,90
Cœur de Bœuf,22.3,20.8,67,133,73,146,0,59
Marmande,19.7,19.6,76,121,82,144,1,85
Marmande,25.1,20.5,51,90,76,136,0,53
Marmande,23.4,27.9,87,134,60,132,1,88
Marmande,24.4,23.2,40,130,74,138,0,63
Noire de Crimée,20.0,26.8,41,129,61,132,1,61
Cerise,20.1,26.6,49,134,77,164,1,96
Noire de Crimée,18.4,23.6,73,91,98,169,0,66
Noire de Crimée,21.2,25.4,71,120,81,137,0,70
Noire de Crimée,23.6,20.7,64,136,87,155,1,62
Marmande,26.6,25.2,49,135,89,144,1,82
Cœur de Bœuf,24.7,21.5,89,115,72,134,0,62
Cerise,22.4,26.5,40,98,62,142,0,97
Cœur de Bœuf,27.5,19.8,71,119,62,144,0,94
Noire de Crimée,25.2,26.0,76,135,85,168,1,58
Noire de Crimée,27.3,19.9,51,97,63,141,0,99
Cœur de Bœuf,23.3,26.9,88,94,75,164,0,97
Cœur de Bœuf,20.6,21.7,57,128,87,137,1,69
Cœur de Bœuf,18.5,24.9,69,93,67,139,0,93
Noire de Crimée,25.3,23.4,52,129,99,163,0,89
Noire de Crimée,19.2,22.3,42,125,75,137,1,50
Cerise,21.0,24.8,60,110,90,151,1,62
Cerise,23.3,27.5,81,122,82,141,1,71
Noire de Crimée,23.6,19.4,53,115,61,151,0,62
Cœur de Bœuf,24.0,27.3,79,129,68,156,0,84
Cœur de Bœuf,19.7,24.5,49,128,86,147,0,50
Cerise,21.8,26.3,41,100,81,148,1,95
Noire de Crimée,24.2,22.5,84,110,93,134,0,82
Cerise,27.7,23.2,76,137,68,145,0,54
Cerise,25.3,26.8,50,111,92,139,1,79
Marmande,27.2,22.7,40,138,97,148,0,54
Marmande,25.6,23.8,65,126,93,130,1,92
Marmande,23.9,19.2,81,96,94,151,0,74
Cœur de Bœuf,19.9,20.4,52,131,85,146,0,75
Noire de Crimée,24.7,24.8,67,102,66,164,0,68
Noire de Crimée,24.2,25.5,75,109,86,168,0,61
Noire de Crimée,24.0,24.2,60,104,71,138,0,57
Noire de Crimée,22.9,20.3,49,127,76,134,1,59
Marmande,23.3,23.0,51,123,80,138,0,67
Cœur de Bœuf,21.3,22.2,85,125,81,140,1,90
Cœur de Bœuf,23.2,23.5,66,135,85,143,1,60
Marmande,20.0,26.8,42,114,98,169,0,79
Cœur de Bœuf,26.1,26.0,67,118,72,153,0,54
Marmande,19.9,19.8,41,136,82,149,1,73
Noire de Crimée,18.8,27.0,67,117,89,162,0,94
Marmande,22.4,23.2,70,103,76,133,0,62
Noire de Crimée,24.6,25.7,82,93,86,145,0,85
Noire de Crimée,22.4,20.3,60,127,79,154,1,98
Cerise,20.8,25.0,46,96,66,130,0,76
Marmande,23.6,21.1,89,102,63,153,0,81
Cerise,21.5,22.9,70,106,90,132,0,63
Marmande,27.3,19.2,53,118,89,161,0,90
Marmande,27.2,20.4,78,106,90,163,0,51
Cerise,23.0,19.8,78,125,63,154,0,53
Cerise,21.3,21.2,48,108,77,132,1,60
Marmande,25.4,19.9,62,115,79,136,0,91
Cœur de Bœuf,18.4,25.2,51,134,99,164,0,86
Noire de Crimée,22.7,19.3,68,98,99,158,1,97
Cerise,21.4,24.6,77,91,82,169,0,87
Noire de Crimée,27.2,20.3,78,109,97,154,0,86
Cœur de Bœuf,18.1,27.5,61,112,68,157,0,62
Cœur de Bœuf,23.5,27.4,43,107,75,153,1,58
Cœur de Bœuf,25.4,21.0,87,115,80,134,0,91
Cerise,22.9,24.5,46,114,68,156,1,76
Cœur de Bœuf,18.9,19.3,79,106,84,139,1,51
Cerise,27.7,27.4,47,128,95,141,0,96
Cœur de Bœuf,23.2,23.7,74,138,73,147,0,76
Noire de Crimée,24.1,19.4,48,99,76,167,1,61
Noire de Crimée,20.4,22.1,52,114,87,137,0,61
Marmande,22.8,19.7,78,135,67,167,0,52
Noire de Crimée,22.3,22.5,59,117,73,159,1,75
Marmande,18.7,25.0,60,115,74,138,0,64
Noire de Crimée,19.1,23.2,86,101,98,154,0,76
Cerise,26.4,22.5,58,133,84,159,0,94
Noire de Crimée,20.4,20.1,41,138,70,131,0,84
Marmande,19.9,21.2,83,108,88,146,0,62
Marmande,23.0,19.9,79,112,62,136,0,54
Cœur de Bœuf,25.7,26.3,69,103,98,151,0,92
Cerise,18.6,20.2,62,106,81,139,0,66
Noire de Crimée,23.8,24.4,79,104,96,155,0,68
Cœur de Bœuf,19.2,22.1,52,110,79,142,0,69
Noire de Crimée,18.4,21.0,72,127,78,157,0,72
Noire de Crimée,18.5,24.8,71,119,72,165,0,61
Cœur de Bœuf,26.3,23.1,67,108,86,140,0,81
Cœur de Bœuf,19.2,22.6,63,121,78,138,0,78
Cœur de Bœuf,18.5,24.3,81,118,75,145,0,54
Cœur de Bœuf,22.4,23.4,67,111,61,146,0,98
Cœur de Bœuf,26.4,21.7,69,109,60,134,0,92
Noire de Crimée,20.6,24.0,80,127,62,134,1,51
Cœur de Bœuf,22.2,25.0,68,127,83,167,0,55
Cerise,18.4,19.2,73,125,97,160,1,70
Marmande,22.5,23.2,61,90,61,131,0,84
Cœur de Bœuf,23.8,19.5,64,108,75,156,0,64
Cœur de Bœuf,23.7,20.7,53,132,88,148,0,67
Noire de Crimée,21.3,24.0,49,115,96,154,0,98
Cœur de Bœuf,21.2,26.8,49,96,63,167,0,96
